Rank,Peak,Title,Worldwide gross,Year
1,1,Avatar,"$2,923,706,026",2009
2,1,Avengers: Endgame,"$2,797,501,328",2019
3,3,Avatar: The Way of Water,"$2,320,250,281",2022
4,1,Titanic,"T$2,257,844,554",1997
5,3,Star Wars: The Force Awakens,"$2,068,223,624",2015
6,4,Avengers: Infinity War,"$2,048,359,754",2018
7,6,Spider-Man: No Way Home,"$1,922,598,800",2021
8,3,Jurassic World,"$1,671,537,444",2015
9,7,The Lion King,"$1,656,943,394",2019
10,3,The Avengers,"$1,518,815,515",2012
11,4,Furious 7,"$1,515,341,399",2015
12,11,Top Gun: Maverick,"$1,495,696,292",2022
13,10,Frozen II,"$1,450,026,933",2019
14,14,Barbie,"$1,445,638,421",2023
15,5,Avengers: Age of Ultron,"$1,402,809,540",2015
16,15,The Super Mario Bros. Movie,"$1,361,992,475",2023
17,9,Black Panther,"$1,347,280,838",2018
18,3,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727",2011
19,9,Star Wars: The Last Jedi,"$1,332,539,889",2017
20,12,Jurassic World: Fallen Kingdom,"$1,308,473,425",2018
21,5,Frozen,"F$1,290,000,000",2013
22,22,Inside Out 2 †,"$1,271,818,459",2024
23,10,Beauty and the Beast,"$1,263,521,126",2017
24,15,Incredibles 2,"$1,242,805,359",2018
25,11,The Fate of the Furious,"F8$1,238,764,765",2017
26,5,Iron Man 3,"$1,214,811,252",2013
27,10,Minions,"$1,159,444,662",2015
28,12,Captain America: Civil War,"$1,153,337,496",2016
29,20,Aquaman,"$1,148,528,393",2018
30,2,The Lord of the Rings: The Return of the King,"$1,147,997,407",2003
31,24RK,Spider-Man: Far From Home,"$1,132,679,685",2019
32,23RK,Captain Marvel,"$1,128,274,794",2019
33,5RK,Transformers: Dark of the Moon,"$1,123,794,079",2011
34,7,Skyfall,"$1,108,569,499",2012
35,10,Transformers: Age of Extinction,"$1,104,054,072",2014
36,7,The Dark Knight Rises,"$1,081,169,825",2012
37,31,Joker,"$1,074,458,282",2019
38,32,Star Wars: The Rise of Skywalker,"$1,074,144,248",2019
39,30,Toy Story 4,"$1,073,394,593",2019
40,4TS3,Toy Story 3,"$1,066,970,811",2010
41,3,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747",2006
42,20,Rogue One: A Star Wars Story,"$1,057,420,387",2016
43,34,Aladdin,"$1,050,693,953",2019
44,2,Star Wars: Episode I – The Phantom Menace,"$1,046,515,409",1999
45,6,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",2011
46,1,Jurassic Park,"$1,037,535,230",1993
47,24,Despicable Me 3,"$1,034,800,131",2017
48,22,Finding Dory,"$1,028,570,942",2016
49,5,Alice in Wonderland,"$1,025,468,216",2010
50,24,Zootopia,"$1,023,784,195",2016
